model,tp,fp,tn,fn,accuracy,precision,recall,f1,num_erroneous,fail_rate,settings
Qwen1.5-0.5B-Chat_full_ep10_lr0.0001_finetuned,767,6,20169,885,0.9591789984881111,0.9922380336351876,0.4642857142857143,0.6325773195876289,511,0.02287581699346405,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr0.0001_Rv2_finetuned,0,0,27,0,1.0,0.0,0.0,0.0,22311,0.9987912973408541,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr2e-07_finetuned,591,9268,90,15,0.06834604576475312,0.059945227710721166,0.9752475247524752,0.11294792164357383,12374,0.5539439520100278,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr2e-07_Rv2_finetuned,625,9488,78,9,0.06892156862745098,0.06180164145159695,0.9858044164037855,0.11631152879873452,12138,0.54337899543379,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr5e-05_finetuned,575,3,19935,1077,0.9499768411301528,0.9948096885813149,0.3480629539951574,0.515695067264574,748,0.0334855403348554,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr5e-05_Rv2_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,22338,1.0,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_finetuned,798,34,16966,510,0.970286213677081,0.9591346153846154,0.6100917431192661,0.7457943925233644,4030,0.1804100635688065,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,6723,552,0.9241237113402062,0.0,0.0,0.0,15063,0.6743217835079237,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr2e-07_finetuned,575,9083,84,10,0.06757588187038556,0.059536135845930836,0.9829059829059829,0.11227179537244947,12586,0.5634345062225804,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr2e-07_Rv2_finetuned,601,9246,79,11,0.06843111603099528,0.061033817406316644,0.9820261437908496,0.1149249450234248,12401,0.5551526546691736,_temp0.2_top0.2
